Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,22-121,2000,28.0,2.21,1.29,1.61,0.61,0.00,1.29,2.00,64.3,0.71,13.1,3.57,27.2,7.64,4.18,1.29,2.79,0.68,0.00,2.11,1.64,3.86,2.18,0.00,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-219,1987,30.1,1.86,1.36,1.30,0.53,0.03,0.37,0.83,44.0,0.47,13.6,4.82,35.5,7.74,5.05,0.80,1.86,0.73,0.07,1.13,3.12,4.98,3.16,0.00,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,22-040,2000,26.6,1.99,1.24,0.90,0.90,0.19,0.71,2.22,32.2,1.50,23.1,6.65,28.8,7.22,12.0,3.95,0.90,0.04,0.00,0.86,1.92,3.91,0.56,0.00,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,29-093,1993,30.1,3.69,2.29,1.56,1.79,0.33,1.79,4.82,37.2,3.02,28.1,8.01,28.5,9.44,15.3,3.32,1.69,0.10,0.00,1.59,2.66,6.35,0.37,0.00,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,22-023,2000,0.5,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.0,2.00,28.0,2.00,7.1,0.00,22.0,6.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-183,1998,8.0,1.75,0.88,0.38,0.88,0.50,0.25,1.38,18.2,1.13,23.4,4.75,20.3,2.63,10.1,10.6,1.25,0.38,0.00,0.88,1.00,2.75,0.88,0.00,Matches
7,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,fr Ligue 1,19-038,2003,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.0,0.91,23.6,3.64,15.4,3.64,12.7,7.27,1.82,0.00,0.00,1.82,0.91,0.91,0.91,0.00,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-215,1997,31.3,1.05,0.70,0.32,0.48,0.26,0.32,0.73,43.5,0.42,13.9,4.22,30.3,1.44,5.81,6.65,1.02,0.35,0.00,0.67,0.45,1.50,0.86,0.00,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,26-067,1996,6.2,1.13,0.97,0.81,0.16,0.16,0.48,0.65,75.0,0.16,5.65,2.10,37.1,2.26,3.23,0.16,2.10,0.81,0.32,1.29,1.77,2.90,6.29,0.16,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,34-084,1988,25.2,0.83,0.40,0.63,0.20,0.00,0.24,0.63,37.5,0.40,5.95,1.71,28.7,3.21,2.30,0.44,1.83,1.15,0.00,0.67,1.75,2.58,4.33,0.04,Matches
