Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,22-121,2000,28.0,1.21,1.21,0.89,0.04,0.11,0.11,0.07,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-219,1987,30.1,0.63,0.63,0.40,0.00,0.10,0.03,0.00,0.10,0.03,0.03,0.00,0.00,0.03,0.00,0.00,0.00,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,22-040,2000,26.6,1.43,1.43,1.05,0.00,0.00,0.15,0.15,0.08,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,29-093,1993,30.1,2.06,2.06,1.50,0.07,0.03,0.03,0.23,0.20,0.17,0.17,0.13,0.00,0.00,0.00,0.03,0.00,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,22-023,2000,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-183,1998,8.0,2.50,2.49,1.50,0.00,0.00,0.13,0.25,0.63,0.25,0.25,0.13,0.00,0.00,0.13,0.00,0.00,Matches
7,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,fr Ligue 1,19-038,2003,1.1,0.91,0.87,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-215,1997,31.3,2.40,2.40,1.66,0.03,0.03,0.42,0.16,0.10,0.35,0.35,0.16,0.00,0.03,0.10,0.06,0.00,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,26-067,1996,6.2,0.48,0.48,0.16,0.00,0.00,0.32,0.00,0.00,0.16,0.16,0.00,0.00,0.00,0.16,0.00,0.00,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,34-084,1988,25.2,0.67,0.68,0.52,0.04,0.00,0.04,0.08,0.00,0.08,0.08,0.04,0.00,0.00,0.00,0.04,0.00,Matches
11,Ragnar Ache\dc38e3bc,de GER,MFFW,Eint Frankfurt,de Bundesliga,23-281,1998,2.9,1.72,1.74,1.03,0.00,0.34,0.34,0.00,0.00,0.34,0.35,0.00,0.00,0.00,0.34,0.00,0.00,Matches
12,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-189,1991,21.1,2.84,2.84,1.90,0.66,0.05,0.09,0.14,0.00,0.14,0.14,0.05,0.09,0.00,0.00,0.00,0.00,Matches
13,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25-296,1996,22.2,2.30,2.29,1.53,0.00,0.05,0.18,0.50,0.05,0.18,0.18,0.14,0.00,0.00,0.00,0.00,0.05,Matches
14,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,23-080,1999,14.6,1.64,1.65,1.51,0.00,0.07,0.07,0.00,0.00,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.00,Matches
15,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28-347,1993,3.7,2.97,2.99,2.16,0.00,0.54,0.00,0.00,0.27,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.00,Matches
16,Martin Adeline\7587446d,fr FRA,MFFW,Reims,fr Ligue 1,18-154,2003,3.9,2.05,2.05,1.79,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
17,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21-360,2000,14.0,3.36,3.37,2.21,0.07,0.21,0.29,0.29,0.29,0.50,0.50,0.36,0.00,0.00,0.07,0.07,0.00,Matches
18,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21-280,2000,24.8,4.15,4.15,2.70,0.81,0.16,0.12,0.24,0.12,0.52,0.52,0.40,0.08,0.00,0.00,0.04,0.00,Matches
19,Michel Aebischer\f9c927de,ch SUI,MF,Bologna,it Serie A,25-119,1997,3.2,1.56,1.57,1.25,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
20,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,19-106,2003,7.4,3.24,3.23,2.16,0.00,0.14,0.27,0.54,0.14,0.41,0.40,0.27,0.00,0.14,0.00,0.00,0.00,Matches
21,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-360,1996,16.7,1.44,1.44,1.08,0.12,0.06,0.00,0.18,0.00,0.12,0.12,0.06,0.00,0.06,0.00,0.00,0.00,Matches
22,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,21-130,2000,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,20-085,2002,19.6,1.53,1.53,1.17,0.05,0.00,0.20,0.10,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches
24,Kevin Agudelo\46fa7204,co COL,FWMF,Spezia,it Serie A,23-172,1998,11.5,2.87,2.88,1.39,0.00,0.52,0.17,0.26,0.52,0.26,0.26,0.09,0.00,0.00,0.00,0.00,0.17,Matches
25,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,26-036,1996,28.4,0.39,0.39,0.32,0.00,0.00,0.04,0.04,0.00,0.14,0.14,0.11,0.00,0.00,0.00,0.04,0.00,Matches
26,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33-337,1988,1.7,1.76,1.79,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
27,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,29-009,1993,20.8,1.06,1.06,0.87,0.05,0.00,0.00,0.10,0.05,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Matches
28,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,es La Liga,22-091,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
29,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,de Bundesliga,20-037,2002,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,fr Ligue 1,23-040,1999,12.0,1.50,1.50,1.33,0.00,0.00,0.08,0.00,0.08,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches
31,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,28-046,1994,9.8,1.94,1.93,1.73,0.00,0.10,0.10,0.00,0.00,0.31,0.30,0.31,0.00,0.00,0.00,0.00,0.00,Matches
32,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,26-218,1995,25.3,0.40,0.40,0.36,0.00,0.00,0.04,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches
33,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,25-209,1996,14.0,2.00,2.00,1.79,0.07,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20-333,2001,16.3,2.39,2.39,1.41,0.61,0.25,0.00,0.06,0.06,0.37,0.37,0.25,0.06,0.00,0.00,0.06,0.00,Matches
35,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,24-018,1998,19.5,1.18,1.18,0.87,0.21,0.00,0.05,0.05,0.00,0.26,0.26,0.15,0.05,0.00,0.00,0.05,0.00,Matches
36,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,28-069,1994,28.9,2.56,2.56,1.87,0.00,0.07,0.24,0.31,0.07,0.31,0.31,0.21,0.00,0.00,0.07,0.03,0.00,Matches
37,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26-290,1995,23.1,0.48,0.48,0.35,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,29-054,1993,17.9,0.89,0.90,0.61,0.06,0.06,0.06,0.11,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,Matches
39,Marley Aké\414e1f69,fr FRA,FW,Juventus,it Serie A,21-120,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,27-076,1995,9.9,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
41,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,18-019,2004,1.4,5.00,5.08,2.86,0.00,0.71,0.00,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Maghnes Akliouche\b625b241,fr FRA,MFFW,Monaco,fr Ligue 1,20-069,2002,0.6,1.67,1.67,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,24-136,1997,5.7,1.05,1.05,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,29-206,1992,3.4,0.59,0.59,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,27-016,1995,16.0,1.69,1.69,1.13,0.06,0.19,0.19,0.06,0.06,0.25,0.25,0.13,0.00,0.00,0.06,0.00,0.06,Matches
46,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29-315,1992,29.4,1.56,1.57,1.26,0.07,0.03,0.14,0.00,0.07,0.27,0.27,0.24,0.00,0.00,0.03,0.00,0.00,Matches
47,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23-280,1998,1.8,0.56,0.57,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,23-106,1999,14.8,1.76,1.76,0.88,0.74,0.07,0.00,0.00,0.07,0.20,0.20,0.07,0.14,0.00,0.00,0.00,0.00,Matches
49,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,29-209,1992,6.3,3.02,3.01,2.06,0.00,0.32,0.16,0.48,0.00,0.32,0.32,0.32,0.00,0.00,0.00,0.00,0.00,Matches
50,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,33-045,1989,26.4,2.77,2.77,2.54,0.08,0.04,0.08,0.04,0.00,0.45,0.45,0.42,0.00,0.00,0.04,0.00,0.00,Matches
51,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,fr Ligue 1,30-104,1992,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
52,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,29-219,1992,24.5,4.12,4.13,2.78,1.02,0.04,0.12,0.12,0.04,0.57,0.57,0.29,0.20,0.00,0.08,0.00,0.00,Matches
53,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,36-243,1985,23.5,0.26,0.26,0.17,0.00,0.00,0.09,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.04,0.00,0.00,Matches
54,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,eng Premier League,32-168,1989,12.1,1.32,1.32,0.91,0.25,0.00,0.00,0.17,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches
55,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,28-248,1993,6.9,1.45,1.45,1.30,0.00,0.00,0.14,0.00,0.00,0.58,0.58,0.58,0.00,0.00,0.00,0.00,0.00,Matches
56,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,31-024,1991,15.2,3.55,3.55,3.09,0.00,0.00,0.33,0.00,0.13,0.26,0.26,0.26,0.00,0.00,0.00,0.00,0.00,Matches
57,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,es La Liga,31-004,1991,10.1,2.38,2.37,1.88,0.20,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
58,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,25-130,1996,23.7,0.38,0.38,0.34,0.00,0.04,0.00,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches
59,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,es La Liga,27-084,1995,10.7,3.27,3.27,2.62,0.19,0.28,0.09,0.00,0.09,0.37,0.37,0.28,0.00,0.09,0.00,0.00,0.00,Matches
60,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,fr Ligue 1,19-188,2002,12.0,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches
61,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,es La Liga,24-120,1998,24.1,1.95,1.95,1.58,0.04,0.08,0.12,0.12,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,Matches
62,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,23-210,1998,28.7,4.77,4.77,2.79,1.67,0.14,0.14,0.03,0.00,0.59,0.59,0.38,0.17,0.00,0.03,0.00,0.00,Matches
63,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,es La Liga,22-038,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,18-106,2004,18.5,1.95,1.95,1.08,0.00,0.27,0.11,0.32,0.16,0.27,0.27,0.16,0.00,0.00,0.11,0.00,0.00,Matches
65,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,29-215,1992,32.0,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,Matches
66,Allan\cc700722,br BRA,MF,Everton,eng Premier League,31-117,1991,24.1,1.33,1.33,1.29,0.00,0.00,0.00,0.04,0.00,0.25,0.25,0.21,0.00,0.00,0.00,0.04,0.00,Matches
67,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,27-067,1995,14.7,2.79,2.80,1.63,0.20,0.54,0.14,0.14,0.14,0.20,0.20,0.14,0.00,0.00,0.07,0.00,0.00,Matches
68,Dele Alli\cea4ee8f,eng ENG,MF,Everton,eng Premier League,26-024,1996,2.5,3.20,3.17,2.80,0.40,0.00,0.00,0.00,0.00,0.40,0.40,0.40,0.00,0.00,0.00,0.00,0.00,Matches
69,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,26-024,1996,7.3,1.10,1.10,0.68,0.00,0.00,0.00,0.41,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.14,0.00,Matches
70,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,28-084,1994,16.4,2.56,2.56,1.71,0.00,0.18,0.49,0.12,0.06,0.24,0.24,0.18,0.00,0.06,0.00,0.00,0.00,Matches
71,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,31-128,1990,21.6,3.66,3.66,2.69,0.56,0.14,0.19,0.05,0.05,0.42,0.42,0.32,0.05,0.00,0.05,0.00,0.00,Matches
72,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,23-269,1998,13.4,1.49,1.49,1.04,0.07,0.00,0.30,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
73,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36-318,1985,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,27-101,1995,18.7,0.48,0.48,0.37,0.00,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
75,Dani Alves\c9e99e49,br BRA,DF,Barcelona,es La Liga,38-364,1983,8.3,2.65,2.64,1.81,0.84,0.00,0.00,0.00,0.00,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,Matches
76,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,23-239,1998,4.5,1.56,1.56,1.56,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,Matches
77,Ibrahim Amadou\9260926b,fr FRA,DFMF,Metz,fr Ligue 1,29-029,1993,9.0,0.56,0.55,0.44,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
78,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,20-166,2001,0.9,1.11,1.14,1.11,0.00,0.00,0.00,0.00,0.00,1.11,1.14,1.11,0.00,0.00,0.00,0.00,0.00,Matches
79,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,27-135,1994,20.1,0.60,0.60,0.55,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
80,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25-293,1996,9.8,1.84,1.83,1.02,0.00,0.10,0.20,0.41,0.10,0.20,0.20,0.10,0.00,0.00,0.10,0.00,0.00,Matches
81,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,28-057,1994,1.4,0.71,0.70,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
82,Jordan Amavi\22721b88,fr FRA,DF,Nice,fr Ligue 1,28-057,1994,4.0,0.75,0.75,0.50,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.25,0.00,Matches
83,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,it Serie A,24-086,1998,26.4,0.95,0.95,0.72,0.04,0.04,0.08,0.08,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches
