Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,22-121,2000,28.0,34.8,46.1,75.3,581.7,219.8,18.0,19.9,90.5,13.4,17.5,76.3,3.04,6.93,43.8,0.04,0.04,-0.01,0.57,1.54,1.14,0.25,3.04,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-219,1987,30.1,38.4,46.7,82.1,825.7,280.3,10.2,11.4,90.1,22.2,24.9,89.2,5.58,9.10,61.3,0.00,0.01,-0.01,0.20,2.36,0.17,0.00,2.56,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,22-040,2000,26.6,56.6,61.8,91.7,1049.2,188.3,22.7,24.3,93.3,26.3,27.7,94.9,6.84,7.97,85.8,0.00,0.04,-0.04,0.53,2.78,0.49,0.04,3.01,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,29-093,1993,30.1,40.0,49.1,81.5,770.6,205.2,16.0,18.1,88.6,16.9,19.2,88.0,6.25,9.27,67.4,0.07,0.09,-0.03,0.90,3.92,0.56,0.20,4.05,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,22-023,2000,0.5,4.00,12.0,33.3,48.0,0.00,2.00,4.00,50.0,2.00,6.00,33.3,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-183,1998,8.0,10.9,17.0,64.0,153.4,39.5,6.50,9.50,68.4,3.13,4.75,65.8,0.50,1.13,44.4,0.13,0.14,-0.01,1.00,0.75,0.75,0.00,1.63,Matches
7,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,fr Ligue 1,19-038,2003,1.1,7.27,9.09,80.0,90.9,20.0,3.64,5.45,66.7,3.64,3.64,100.0,0.00,0.00,,0.00,0.00,0.00,0.91,0.91,0.91,0.00,0.91,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-215,1997,31.3,14.9,20.4,73.0,223.7,52.7,9.04,11.7,77.1,3.99,5.72,69.8,1.21,1.50,80.9,0.13,0.11,0.02,1.02,1.05,0.83,0.10,1.85,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,26-067,1996,6.2,31.3,35.5,88.2,696.8,186.0,6.77,7.42,91.3,18.5,20.0,92.7,5.81,7.74,75.0,0.00,0.00,0.00,0.00,1.29,0.00,0.00,1.45,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,34-084,1988,25.2,64.4,71.4,90.3,1365.3,426.4,20.0,21.4,93.3,33.1,35.2,94.0,10.5,13.5,78.2,0.00,0.02,-0.02,0.24,4.56,0.24,0.00,3.41,Matches
11,Ragnar Ache\dc38e3bc,de GER,MFFW,Eint Frankfurt,de Bundesliga,23-281,1998,2.9,14.5,24.5,59.2,209.3,43.8,7.59,12.1,62.9,5.86,9.31,63.0,0.34,1.03,33.3,0.34,0.10,0.24,0.69,1.03,0.69,0.69,1.03,Matches
12,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-189,1991,21.1,62.1,77.6,80.0,1280.9,476.8,23.7,25.5,93.3,26.7,31.2,85.4,11.2,18.8,59.4,0.14,0.13,0.01,1.80,3.79,1.75,1.00,4.60,Matches
