Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,22-121,2000,28.0,46.1,35.0,11.2,0.82,0.07,5.43,0.61,1.46,0.00,0.00,0.00,0.00,26.8,9.89,9.50,5.21,29.2,0.86,10.4,0.07,34.8,0.25,0.93,1.68,1.71,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-219,1987,30.1,46.7,43.5,3.26,2.66,0.00,5.85,1.66,0.03,0.00,0.00,0.00,0.00,34.9,3.85,8.01,31.6,11.9,1.46,0.47,0.13,38.4,0.17,1.03,1.23,0.93,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,22-040,2000,26.6,61.8,61.0,0.75,0.60,0.04,8.08,0.79,0.38,0.00,0.00,0.00,0.00,53.2,4.70,3.83,4.85,53.8,1.92,0.15,0.30,56.6,0.08,0.60,1.24,0.83,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,29-093,1993,30.1,49.1,48.2,0.86,0.66,0.20,9.20,1.53,0.76,0.00,0.00,0.00,0.00,36.7,5.58,6.78,4.45,43.4,0.66,0.17,0.07,40.0,0.23,0.50,1.79,1.79,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,22-023,2000,0.5,12.0,12.0,0.00,0.00,0.00,6.00,0.00,2.00,0.00,0.00,0.00,0.00,10.0,0.00,2.00,12.0,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,0.00,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-183,1998,8.0,17.0,15.9,1.13,0.13,0.13,5.13,0.13,0.25,0.00,0.00,0.00,0.00,10.6,4.00,2.38,3.25,9.25,2.38,0.00,0.38,10.9,0.25,0.63,0.63,1.13,Matches
7,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,fr Ligue 1,19-038,2003,1.1,9.09,9.09,0.00,0.00,0.00,3.64,0.00,0.91,0.00,0.00,0.00,0.00,8.18,0.91,0.00,2.73,6.36,0.00,0.00,0.00,7.27,0.00,0.00,0.91,0.00,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-215,1997,31.3,20.4,18.4,1.98,0.19,0.16,5.94,0.29,0.64,0.00,0.00,0.00,0.00,13.1,4.35,2.88,1.76,14.2,2.01,0.03,0.70,14.9,0.00,0.32,1.05,0.70,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,26-067,1996,6.2,35.5,34.0,1.45,0.81,0.00,1.61,1.13,0.00,0.00,0.00,0.00,0.00,28.2,2.42,4.84,29.2,3.55,1.77,0.32,0.16,31.3,0.16,0.16,0.32,0.16,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,34-084,1988,25.2,71.4,68.8,2.54,2.22,0.08,6.23,2.66,0.04,0.00,0.00,0.00,0.00,52.1,6.07,13.2,54.1,12.3,2.78,0.04,0.20,64.4,0.04,0.71,0.87,0.44,Matches
11,Ragnar Ache\dc38e3bc,de GER,MFFW,Eint Frankfurt,de Bundesliga,23-281,1998,2.9,24.5,23.8,0.69,0.00,0.00,8.97,0.34,2.07,0.00,0.00,0.00,0.00,12.1,6.21,6.21,4.14,12.1,1.72,0.69,0.34,14.5,0.34,0.69,1.38,1.72,Matches
12,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-189,1991,21.1,77.6,64.2,13.5,2.13,0.09,6.49,4.08,4.88,1.66,0.05,1.23,0.05,45.2,12.4,20.0,57.5,7.25,2.09,9.67,0.09,62.1,0.24,1.09,2.27,1.71,Matches
13,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25-296,1996,22.2,21.3,20.5,0.72,0.00,0.18,6.04,0.45,0.50,0.00,0.00,0.00,0.00,13.5,4.37,3.38,1.98,15.3,1.22,0.05,0.68,14.8,0.09,0.45,1.17,1.35,Matches
14,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,23-080,1999,14.6,60.8,58.2,2.60,1.58,0.07,10.0,0.41,0.21,0.00,0.00,0.00,0.00,47.7,5.75,7.33,8.84,46.6,2.81,0.96,0.27,52.7,0.27,0.62,1.58,1.37,Matches
15,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28-347,1993,3.7,26.5,25.1,1.35,0.00,0.00,7.30,0.00,1.62,0.00,0.00,0.00,0.00,17.8,3.51,5.14,5.14,15.9,1.89,1.35,0.81,19.7,0.00,0.81,1.35,1.89,Matches
16,Martin Adeline\7587446d,fr FRA,MFFW,Reims,fr Ligue 1,18-154,2003,3.9,37.4,35.9,1.54,0.51,0.00,12.6,0.26,0.51,1.03,0.00,1.03,0.00,29.7,2.56,5.13,6.41,29.7,0.77,0.00,0.00,27.4,0.26,2.05,3.08,2.05,Matches
17,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21-360,2000,14.0,37.1,35.8,1.36,0.14,0.07,8.21,0.36,1.86,0.14,0.00,0.00,0.00,29.9,5.29,2.00,29.9,4.29,0.86,0.71,0.43,28.0,0.36,0.50,2.79,1.43,Matches
