Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,22-121,2000,28.0,59.4,5.07,23.3,24.8,15.7,0.93,48.6,1.07,2.57,41.7,1.14,0.21,34.4,205.9,125.4,5.39,1.68,0.39,0.86,0.96,36.9,33.2,89.9,1.32,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-219,1987,30.1,57.1,7.84,32.1,26.4,2.82,0.86,54.1,0.50,0.66,75.0,0.50,0.03,35.6,202.9,113.4,2.86,0.73,0.00,0.47,0.43,36.9,35.8,97.0,0.33,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,22-040,2000,26.6,71.1,2.07,23.0,42.0,11.0,0.64,70.5,1.02,1.58,64.3,1.13,0.08,54.2,247.9,107.0,2.86,0.71,0.15,0.83,1.50,59.3,55.0,92.7,1.73,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,29-093,1993,30.1,61.1,0.73,14.0,39.9,11.2,0.47,60.5,1.36,2.09,65.1,1.43,0.10,45.0,169.8,86.0,2.82,1.13,0.07,0.86,1.50,45.1,42.1,93.2,1.76,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,22-023,2000,0.5,24.0,0.00,0.00,10.0,18.0,6.00,24.0,0.00,0.00,,0.00,0.00,18.0,118.0,18.0,0.00,2.00,0.00,8.00,0.00,24.0,16.0,66.7,4.00,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-183,1998,8.0,33.0,1.13,3.50,15.4,15.8,3.88,31.9,0.75,2.25,33.3,0.88,0.13,18.9,71.9,40.8,2.63,1.00,0.88,5.13,1.38,41.4,21.0,50.8,6.00,Matches
7,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,fr Ligue 1,19-038,2003,1.1,22.7,1.82,1.82,10.0,10.9,2.73,22.7,0.91,1.82,50.0,0.91,0.00,16.4,61.8,31.8,2.73,0.00,0.00,1.82,4.55,35.5,11.8,33.3,7.27,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-215,1997,31.3,32.8,0.96,2.59,16.6,15.3,5.85,30.8,1.12,2.33,47.9,1.18,0.10,18.1,77.3,39.5,2.52,0.80,0.70,2.43,1.31,41.6,22.5,54.1,6.71,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,26-067,1996,6.2,46.8,10.2,30.0,18.2,1.13,0.81,45.5,0.00,0.00,,0.00,0.00,25.2,129.5,77.1,1.13,0.00,0.00,0.32,0.00,30.2,29.4,97.3,0.16,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,34-084,1988,25.2,80.8,12.4,42.3,41.3,2.42,0.79,78.5,0.12,0.16,75.0,0.12,0.00,52.3,286.9,165.4,3.65,0.71,0.00,0.32,0.12,58.7,57.8,98.4,0.36,Matches
11,Ragnar Ache\dc38e3bc,de GER,MFFW,Eint Frankfurt,de Bundesliga,23-281,1998,2.9,44.8,0.34,2.76,20.3,24.8,6.21,44.5,1.38,2.76,50.0,1.72,0.00,26.9,150.7,96.2,5.52,2.07,1.72,5.52,2.76,57.2,34.8,60.8,10.7,Matches
12,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-189,1991,21.1,87.1,2.37,26.4,41.4,24.6,0.85,74.3,1.94,2.56,75.9,1.99,0.14,58.0,265.8,157.3,5.69,1.52,0.24,1.18,1.14,60.9,57.8,94.8,2.84,Matches
