"","Player","Position","Squad","Competition","90s","PCmp","xA","ProgP","PrgDist","KP","FinalThird","UPress","SCA90","TklW","Pressures","Press%","Int","Clr","Blocks","DribTkl","Touches","TouchesMid","Carries","Drib%","AWon","GpSh"
"1","Salis Abdul Samed\82464ce3","MF","Clermont Foot","fr Ligue 1",26.6,91.7,0.04,3.01,188.3,0.53,2.78,8.08,1.43,1.24,23.1,6.65,1.92,0.56,0.9,0.71,71.1,42,54.2,64.3,0.86,0.06
"2","Laurent Abergel\31626657","MF","Lorient","fr Ligue 1",30.1,81.5,0.09,4.05,205.2,0.9,3.92,9.2,2.06,2.29,28.1,8.01,2.66,0.37,1.69,1.79,61.1,39.9,45,65.1,0.4,0
"3","Lucien Agoume\8bc8829a","MF","Brest","fr Ligue 1",19.6,84.3,0.02,3.83,198.2,0.56,3.32,7.7,1.53,2.04,18.4,5.61,2.86,1.53,1.63,0.82,58.1,33.5,37.2,71.4,1.53,0
"4","Luis Alberto\5294a83f","MF","Lazio","it Serie A",24.5,82.8,0.3,6.53,342.4,2.41,7.59,12.3,4.13,0.73,15.9,4.16,0.82,0.24,1.1,0.41,83,46.7,61,56.1,0.45,0.1
"5","Thiago Alcántara\77e84962","MF","Liverpool","eng Premier League",15.2,89.5,0.13,9.93,427.4,1.58,10.9,12.8,3.55,2.3,18.4,6.71,1.97,0.99,1.45,0.66,96.8,65.1,71.9,63.6,2.37,0.05
"6","Carles Aleñá\6c811eb7","MF","Getafe","es La Liga",24.1,79.8,0.07,2.37,95.6,0.79,2.32,7.68,1.95,0.83,20.4,5.02,0.75,0.37,1.04,0.62,42.7,25.2,31.2,42.4,0.5,0.02
"7","Allan\cc700722","MF","Everton","eng Premier League",24.1,78.4,0.04,4.4,174.8,0.62,4.02,6.35,1.33,2.53,26.8,8.46,1.74,1.66,1.91,1.08,50.7,31.1,31.3,66.7,0.5,0
"8","Benjamin André\ef9c1c95","MF","Lille","fr Ligue 1",28.8,81.4,0.06,4.69,233.6,0.52,4.34,11.3,1.46,2.5,22.5,7.08,2.6,2.12,2.5,1.04,70.9,43.3,40.5,76.2,3.78,0.12
"9","Robert Andrich\e0b113a7","MF","Leverkusen","de Bundesliga",19.1,82.3,0.04,4.24,205.7,0.47,4.24,6.7,1.51,1.62,17.9,5.97,2.46,2.3,1.68,0.63,61.2,37.6,35,76.9,2.09,0.14
"10","Mauro Arambarri\58afe001","MF","Getafe","es La Liga",25.6,74.3,0.06,2.27,175.2,1.13,3.13,6.6,2.15,1.33,21.1,5.78,1.6,0.82,1.76,0.59,54.3,34.7,33.4,71.7,0.98,0
"11","Charles Aránguiz\56413b1f","MF","Leverkusen","de Bundesliga",16.2,84.2,0.05,4.94,284,0.93,4.94,8.58,1.98,1.98,24.9,8.02,2.47,1.05,1.98,0.86,72.1,45.7,45.6,78.6,0.68,0.11
"12","Maximilian Arnold\86e119e0","MF","Wolfsburg","de Bundesliga",31.3,78,0.14,4.82,323.3,1.82,4.6,7.67,2.91,1.02,17.2,5.75,2.08,1.25,1.37,0.42,65.7,39.1,38.8,66.7,1.05,0.11
"13","Tolgay Arslan\963a328b","MF","Udinese","it Serie A",18.3,80.4,0.09,2.95,133.7,0.93,3.39,5.79,2.35,1.26,17.8,4.64,1.75,1.26,1.48,0.66,47.2,26.7,30.9,50,0.44,0.04
"14","Santiago Ascacíbar\e26fcca3","MF","Hertha BSC","de Bundesliga",24.4,83.2,0.01,2.95,177.3,0.37,2.58,7.54,1.19,2.38,23.4,7.42,2.21,1.43,1.89,1.39,57,31.5,26.1,53.8,1.48,0
"15","Iddrisu Baba\bfd381b3","MF","Mallorca","es La Liga",20.5,81,0.01,3.07,171,0.29,2.68,7.8,0.68,2.39,18.3,5.8,1.61,1.95,1.61,1.02,46.9,29.5,30.5,61.5,2.54,0.1
"16","Milan Badelj\e8c930bb","MF","Genoa","it Serie A",30.3,78.5,0.07,4.98,241.1,0.76,4.06,8.38,1.91,1.39,15.9,5.15,3.73,1.35,1.62,0.96,60.6,39.1,35.3,64,1.35,0.05
"17","Nedim Bajrami\f42d6c13","MF","Empoli","it Serie A",21.3,70.4,0.24,3.94,155.4,2.54,1.88,6.15,4.51,1.31,14.4,4.08,0.38,0.38,0.66,0.19,50.3,20,35.5,53.2,0.09,0.06
"18","Filippo Bandinelli\d44360be","MF","Empoli","it Serie A",19.2,75.5,0.13,4.48,161.8,1.51,2.24,6.3,2.45,1.25,20.2,5.1,1.15,1.35,1.25,0.73,47.7,22.3,31.9,40.7,0.83,0.06
"19","Keidi Bare\03049c8c","MF","Espanyol","es La Liga",16.5,86,0.06,3.82,202.2,0.55,4.85,8.61,1.28,1.21,18.6,5.15,1.82,1.52,1.52,0.67,62.5,39.2,41.7,45,1.27,0.2
"20","Nicolò Barella\6928979a","MF","Inter","it Serie A",30.1,82.9,0.22,5.81,256.1,1.66,4.45,8.6,3.69,1.03,13,3.65,1.13,0.43,0.96,0.63,68,36.9,51.6,59.7,0.73,0.05
"21","Leandro Barreiro Martins\00242b75","MF","Mainz 05","de Bundesliga",18.9,72.8,0.11,2.43,98.8,0.63,1.69,6.46,1.96,1.85,23.9,6.83,1.9,1.53,1.69,1.16,40.6,19.5,22.1,25,1.38,0.03
